['CO[P@@](=O)(N)SC', '(-)']
['Cc1ccc(C2=C(O)C(=O)OC[C@@H]2C)c(O)c1O', '(-)']
['C/C=C/[C@@H](C)OCC1=CC=CC=C1', '(+)']
['C/C=C/[C@H](C)OCc1ccccc1', '(-)']
['CCC(=O)OC[C@@H](C)C1=CC2=C(C=C1)C=C(C=C2)OC', '(-)']
['CCC(=O)OC[C@H](C)c1ccc2cc(OC)ccc2c1', '(+)']
['CCCCC[C@@H](C#CCCCC)O', '(-)']
['CCCCC#C[C@H](O)CCCCC', '(+)']
['C[C@@H](CC1=CC2=CC(=C(C=C2C(=O)O1)O)O)O', '(+)']
['C[C@@H](O)Cc1cc2cc(O)c(O)cc2c(=O)o1', '(-)']
['CC(C)([C@H](CC1=C(C2=C(C3=C(C=C2)OCO3)N(C1=O)C)OC)O)O', '(-)']
['COc1c(C[C@@H](O)C(C)(C)O)c(=O)n(C)c2c3c(ccc12)OCO3', '(+)']
['CC[C@H]1/C=C\\C=C/C[C@@H]([C@@H](O1)C/C=C/C#C)Cl', '(+)']
['C#C/C=C/C[C@H]1O[C@H](CC)/C=C\\C=C/C[C@H]1Cl', '(-)']
['CC(=O)OCCCCCCCCCCCCCCC[C@@H]1[C@H](C(=C)C(=O)O1)C(=O)O', '(+)']
['C=C1C(=O)O[C@@H](CCCCCCCCCCCCCCCOC(C)=O)[C@@H]1C(=O)O', '(-)']
['C1CCN2C[C@@H]3C[C@H]([C@H]2C1)C(=O)N4[C@@H]3CCC=C4', '(+)']
['O=C1[C@H]2C[C@H](CN3CCCC[C@@H]23)[C@@H]2CCC=CN12', '(-)']
['CC1=CC(=C(C=C1[N+](=O)O)[C@@H](C)CCC=C(C)C)O', '(+)']
['CC(C)=CCC[C@@H](C)c1cc([N+](=O)O)c(C)cc1O', '(-)']
['COC1=CC(=CC(=C1O)O)[C@@H]2C3=CC(=C(C=C3C[C@H]([C@@]2(C(=O)O)O)CO)OC)O', '(+)']
['COc1cc2c(cc1O)[C@H](c1cc(O)c(O)c(OC)c1)[C@](O)(C(=O)O)[C@@H](CO)C2', '(-)']
['C[C@]12CCCC([C@@H]1CC[C@@]34[C@H]2C[C@@H](CC3)C(=C)C4)(C)C', '(+)']
['C=C1C[C@]23CC[C@H]1C[C@@H]2[C@]1(C)CCCC(C)(C)[C@H]1CC3', '(-)']
['CC1=C2C[C@H]([C@@H]3[C@H]([C@@]2(CCC1)C)O3)C(=C)C', '(+)']
['C=C(C)[C@H]1CC2=C(C)CCC[C@]2(C)[C@H]2O[C@@H]12', '(-)']
['C[C@H]1CC[C@@H]([C@H]2[C@@H]1CCC(=C2)C)C(=C)C', '(+)']
['C=C(C)[C@@H]1CC[C@@H](C)[C@@H]2CCC(C)=C[C@@H]21', '(-)']
['CC[C@@]12CCC3=C(CCN(C1)CC=C2)C4=CC=CC=C4N3C', '(+)']
['CC[C@]12C=CCN(CCc3c(n(C)c4ccccc34)CC1)C2', '(-)']
['CC[C@@]12CCC3=C(CCN(C1)CC=C2)C4=CC=CC=C4N3', '(+)']
['CC[C@]12C=CCN(CCc3c([nH]c4ccccc34)CC1)C2', '(-)']
['C[C@H]1CC[C@@H]2[C@@]1(CC(C[C@H]3[C@@]2(C3)C)(C)C)O', '(+)']
['C[C@@H]1CC[C@@H]2[C@]3(C)C[C@@H]3CC(C)(C)C[C@@]12O', '(-)']
['CC1=CC[C@@H]2C[C@H]1O[C@]2(C)CO', '(+)']
['CC1=CC[C@H]2C[C@@H]1O[C@@]2(C)CO', '(-)']
['C1C[C@@H]2CCN3[C@@H]2[C@H](C1)C4=CC5=C(C=C4C3)OCO5', '(+)']
['c1c2c(cc3c1OCO3)[C@@H]1CCC[C@H]3CCN(C2)[C@H]31', '(-)']
['C1CC[C@H]([C@@H](C1)N2CCC(CC2)C3=CC=C(C=C3)I)O', '(+)']
['O[C@H]1CCCC[C@@H]1N1CCC(c2ccc(I)cc2)CC1', '(-)']
['C/C=C/1\\CN([C@H]2C[C@@H]1[C@@H](N3C2=CC4=CC=CC=C43)C(=O)OC)CCO', '(+)']
['C/C=C1\\CN(CCO)[C@@H]2C[C@H]1[C@@H](C(=O)OC)n1c2cc2ccccc21', '(-)']
['C1=C(C=C(C(=C1O)O)O)[C@@H]2[C@H]([C@@H](C3=C(C=C(C=C3O2)O)O)[C@H]4[C@@H]([C@H](OC5=CC(=CC(=C45)O)O)C6=CC(=C(C(=C6)O)O)O)O)O', '(+)']
['Oc1cc(O)c2c(c1)O[C@@H](c1cc(O)c(O)c(O)c1)[C@H](O)[C@H]2[C@H]1c2c(O)cc(O)cc2O[C@@H](c2cc(O)c(O)c(O)c2)[C@@H]1O', '(-)']
['C[C@@H]1[C@H]2CC[C@@]3(CCCC(=C3[C@H]2OC1=O)C)C', '(+)']
['CC1=C2[C@@H]3OC(=O)[C@@H](C)[C@@H]3CC[C@@]2(C)CCC1', '(-)']
['C[C@H]1CC2=C([C@@H](O1)C)C(=O)C3=C(C2=O)C=CC=C3OC', '(+)']
['COc1cccc2c1C(=O)C1=C(C[C@@H](C)O[C@@H]1C)C2=O', '(-)']
['B(C1=CC=C(C=C1)C[C@H](CO)N)(O)O', '(+)']
['N[C@H](CO)Cc1ccc(B(O)O)cc1', '(-)']
['C/C/1=C/CC/C(=C\\C[C@H](CC/C(=C\\CC1)/C)C(C)(C)O)/C', '(+)']
['C/C1=C/CC/C(C)=C\\C[C@H](C(C)(C)O)CC/C(C)=C\\CC1', '(-)']
['CC1=CC(=C(C=C1)O)[C@@H](C)CCC=C(C)C', '(+)']
['CC(C)=CCC[C@@H](C)c1cc(C)ccc1O', '(-)']
['CC(C)(C)[Si](C)(C)OC[C@]12C[C@@]([C@H]([C@](O1)(C=C2)/C=C/C(=O)N3[C@@H](COC3=O)C4=CC=CC=C4)CC=C)(C#CC5=CC=CC=C5)O[Si](C)(C)C', '(-)']
['C=CC[C@@H]1[C@]2(/C=C/C(=O)N3C(=O)OC[C@@H]3c3ccccc3)C=C[C@](CO[Si](C)(C)C(C)(C)C)(C[C@]1(C#Cc1ccccc1)O[Si](C)(C)C)O2', '(+)']
['CC(C)(C)[Si](C)(C)OC[C@]12C[C@@]([C@H]([C@](O1)(C=C2)COCOCC3=CC=CC=C3)CC=C)(C#CC4=CC=CC=C4)O[Si](C)(C)C', '(+)']
['C=CC[C@@H]1[C@]2(COCOCc3ccccc3)C=C[C@](CO[Si](C)(C)C(C)(C)C)(C[C@]1(C#Cc1ccccc1)O[Si](C)(C)C)O2', '(-)']
['CC(C)(C)[Si](C)(C)OC[C@]12CC(=O)[C@@H]([C@](O1)(C=C2)COCOCC3=CC=CC=C3)CC=C', '(-)']
['C=CC[C@@H]1C(=O)C[C@@]2(CO[Si](C)(C)C(C)(C)C)C=C[C@]1(COCOCc1ccccc1)O2', '(+)']
['CC(C)(C)[Si](C)(C)OC[C@]12CC(=O)C(=C)[C@](O1)(C=C2)COCOCC3=CC=CC=C3', '(+)']
['C=C1C(=O)C[C@@]2(CO[Si](C)(C)C(C)(C)C)C=C[C@]1(COCOCc1ccccc1)O2', '(-)']
['C/C=C(\\C)/C(=O)N[C@H]1[C@H](C[C@]2([C@H]([C@H]1OC(=O)C)CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC=C4[C@H](C)N(C)C)C)C)OC(=O)C', '(+)']
['C/C=C(\\C)C(=O)N[C@H]1[C@@H](OC(C)=O)[C@H]2CC[C@H]3[C@@H](CC[C@@]4(C)C([C@@H](C)N(C)C)=CC[C@H]34)[C@]2(C)C[C@H]1OC(C)=O', '(-)']
['[B][C@H]1C[C@H]2C[C@@H]([C@@H]1C)C2(C)C.C[C@H]1C[C@H]2C[C@@H]([C@@H]1C)C2(C)C.CC(C)CCN(C)C', '(-)']
['CC(C)CCN(C)C.C[C@H]1[C@H](C)C[C@@H]2C[C@H]1C2(C)C.[B][C@@H]1C[C@@H]2C[C@H]([C@H]1C)C2(C)C', '(+)']
['COC[C@@H]1CCCN1C(=C2C=CC(=C(C#N)C#N)C=C2)N3CCC[C@H]3COC', '(+)']
['COC[C@H]1CCCN1C(=c1ccc(=C(C#N)C#N)cc1)N1CCC[C@@H]1COC', '(-)']
['C[C@@H]1CCC2=C([C@@H]1C=C(C)C)CC[C@H]2C', '(+)']
['CC(C)=C[C@@H]1C2=C(CC[C@@H]1C)[C@@H](C)CC2', '(-)']
['C[C@@H]1CC[C@H]2[C@@H](CC=C2[C@@H]1C=C(C)C)C', '(+)']
['CC(C)=C[C@@H]1C2=CC[C@H](C)[C@H]2CC[C@@H]1C', '(-)']
['C[C@H]1CC[C@@H]\\2[C@H]1CC[C@@H](/C2=C\\C(=C)C)C', '(+)']
['C=C(C)/C=C1\\[C@H](C)CC[C@@H]2[C@H](C)CC[C@H]12', '(-)']
['C1CC(=O)O[C@H]1CC2=CC(=CC(=C2)O)O', '(-)']
['O=C1CC[C@@H](Cc2cc(O)cc(O)c2)O1', '(+)']
['C[C@@H]1CC=C2[C@]1(CC[C@]([C@H]2C)(C)C=C)C', '(+)']
['C=C[C@]1(C)CC[C@@]2(C)C(=CC[C@@H]2C)[C@H]1C', '(-)']
['CC1=C(SC=N1)[C@@H](C2=CC=CC=C2)N', '(+)']
['Cc1ncsc1[C@@H](N)c1ccccc1', '(-)']
['C[C@H](C1=CC=CC=C1)N2C(=O)CC(=C)C2=O', '(+)']
['C=C1CC(=O)N([C@@H](C)c2ccccc2)C1=O', '(-)']
['CC[C@H](C)COC(=O)NCCCCCCN=C=O', '(-)']
['CC[C@@H](C)COC(=O)NCCCCCCN=C=O', '(+)']
['CC[C@@H]1COCCOCCOCCOCCN1CC2=CC=CC=C2', '(-)']
['CC[C@H]1COCCOCCOCCOCCN1Cc1ccccc1', '(+)']
['CCCCCCCCC[C@@H]1[C@H](O1)/C=C\\C/C=C\\CCCCC', '(+)']
['CCCCC/C=C\\C/C=C\\[C@@H]1O[C@H]1CCCCCCCCC', '(-)']
['CC(=O)CCC[C@@H]1CC[C@H](CC1=O)C(C)(C)O', '(+)']
['CC(=O)CCC[C@H]1CC[C@H](C(C)(C)O)CC1=O', '(-)']
['CC/C=C\\C=C/C(=O)N/C=C\\C[C@H]1C[C@H]([C@H](C/C=C\\CC2=C(C(=CC=C2)O)C(=O)O1)C)O', '(-)']
['CC/C=C\\C=C/C(=O)N/C=C\\C[C@@H]1C[C@H](O)[C@H](C)C/C=C\\Cc2cccc(O)c2C(=O)O1', '(+)']
['C[C@H]1CC[C@@](O[C@@H]1C(=C)C[C@@]23C[C@@H](C[C@H](O2)[C@H]4[C@@H](O3)C[C@@]5(O4)[C@@H](C[C@@H](CN5)C)C)C)([C@H]([C@H]6C[C@H]7[C@@H](O6)C[C@@H]([C@@]8(O7)CC[C@@]9(O8)C=CC[C@H](O9)/C=C/CCC(=O)O)C)O)O', '(-)']
['C=C(C[C@]12C[C@@H](C)C[C@@H](O1)[C@H]1O[C@]3(C[C@H]1O2)NC[C@H](C)C[C@@H]3C)[C@@H]1O[C@](O)([C@H](O)[C@@H]2C[C@H]3O[C@]4(CC[C@@]5(C=CC[C@@H](/C=C/CCC(=O)O)O5)O4)[C@H](C)C[C@H]3O2)CC[C@H]1C', '(+)']
['C1=CC(=CC=C1[C@@H]2[C@H]3[C@H]([C@H](C4=C(C=C(C=C4O)O)[C@@H]5[C@@H](OC6=CC(=CC3=C56)O)C7=CC=C(C=C7)O)C8=CC=C(C=C8)O)C9=C2C(=CC1=C9[C@@H]([C@H](O1)C1=CC=C(C=C1)O)C1=CC(=CC(=C1)O)O)O)O', '(+)']
['Oc1ccc([C@@H]2c3c(O)cc4c(c3[C@@H]3[C@H](c5ccc(O)cc5)c5c(O)cc(O)cc5[C@@H]5c6c(cc(O)cc6[C@H]23)O[C@@H]5c2ccc(O)cc2)[C@@H](c2cc(O)cc(O)c2)[C@H](c2ccc(O)cc2)O4)cc1', '(-)']
['C[C@H]1CCC[C@]2(C1=CC(=CC2)C(C)C)C', '(+)']
['CC(C)C1=CC[C@]2(C)CCC[C@@H](C)C2=C1', '(-)']
['CC(C)[C@H]1[C@H]2C[C@H](C2(C)C)C3=C1N=C(C=C3)C4=NC5=C(C=C4)[C@@H]6C[C@H](C5)C6(C)C', '(-)']
['CC(C)[C@H]1c2nc(-c3ccc4c(n3)C[C@@H]3C[C@H]4C3(C)C)ccc2[C@H]2C[C@@H]1C2(C)C', '(+)']
['CCC[C@H]1[C@H]2C[C@H](C2(C)C)C3=C1N=C(C=C3)C4=NC5=C(C=C4)[C@@H]6C[C@H]([C@@H]5CCC)C6(C)C', '(-)']
['CCC[C@H]1c2nc(-c3ccc4c(n3)[C@H](CCC)[C@@H]3C[C@H]4C3(C)C)ccc2[C@H]2C[C@@H]1C2(C)C', '(+)']
['C/C=C/CCCCC[C@@H]1C=C2[C@@]3(CC4=C([C@@H]5[C@H]1C[C@@H](O[C@@]52OC3=O)C(=O)CC/C=C/C)C(=O)OC4=O)CC(=O)O', '(+)']
['C/C=C/CCCCC[C@H]1C=C2[C@@]3(CC(=O)O)CC4=C(C(=O)OC4=O)[C@H]4[C@@H]1C[C@@H](C(=O)CC/C=C/C)O[C@@]24OC3=O', '(-)']
['C1=CC(=C(C=C1C[C@@H](C(=O)O)OC(=O)[C@@H]2[C@H](C3=CC(=C(C=C3C=C2C(=O)O[C@H](CC4=CC(=C(C=C4)O)O)C(=O)O)O)O)C5=CC(=C(C=C5)O)O)O)O', '(+)']
['O=C(O[C@@H](Cc1ccc(O)c(O)c1)C(=O)O)C1=Cc2cc(O)c(O)cc2[C@@H](c2ccc(O)c(O)c2)[C@@H]1C(=O)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O', '(-)']
['C1=CC(=CC=C1/C=C\\2/[C@@H]([C@H](C3=C2C=C(C=C3O)O)C4=CC(=CC(=C4)O)O)C5=CC=C(C=C5)O)O', '(-)']
['Oc1ccc(/C=C2\\c3cc(O)cc(O)c3[C@@H](c3cc(O)cc(O)c3)[C@@H]2c2ccc(O)cc2)cc1', '(+)']
['CC(=O)O[C@@H]1CC2=C(C=CC3=C2OC(=O)C=C3)OC1(C)C', '(+)']
['CC(=O)O[C@H]1Cc2c(ccc3ccc(=O)oc23)OC1(C)C', '(-)']
['C[C@@]1(CC[C@H]2[C@H]1C=CCCC2=C)O', '(+)']
['C=C1CCC=C[C@H]2[C@H]1CC[C@@]2(C)O', '(-)']
['C[C@H]1C[C@@H]([C@H]2C(=C1)C=C[C@]3([C@@]2(C(=O)CCO3)C)C)O', '(-)']
['C[C@H]1C=C2C=C[C@@]3(C)OCCC(=O)[C@@]3(C)[C@@H]2[C@H](O)C1', '(+)']
['C[C@]1(C2=CC(=C(C=C2CCN1)OC)OC)CO', '(+)']
['COc1cc2c(cc1OC)[C@](C)(CO)NCC2', '(-)']
['CC(C)[C@H]1C(=O)N[C@@H](CC2=CNC3=C2C(=CC=C3)N1C)COC(=O)CC(=O)O', '(-)']
['CC(C)[C@@H]1C(=O)N[C@@H](COC(=O)CC(=O)O)Cc2c[nH]c3cccc(c23)N1C', '(+)']
['CC1=C[C@H](OC1=O)O/C=C\\2/[C@H]3[C@H](C4=C([C@H]3OC2=O)C(CCC4)(C)C)O', '(+)']
['CC1=C[C@H](O/C=C2\\C(=O)O[C@H]3C4=C(CCCC4(C)C)[C@@H](O)[C@@H]23)OC1=O', '(-)']
['CN1C[C@H]2[C@]3([C@@H]1C[C@@H](C=C3)O)C4=CC5=C(C=C4C(=O)O2)OCO5', '(+)']
['CN1C[C@H]2OC(=O)c3cc4c(cc3[C@@]23C=C[C@H](O)C[C@@H]13)OCO4', '(-)']
['CN1C[C@H]2[C@]3([C@@H]1C[C@H](C=C3)O)C4=CC5=C(C=C4C(=O)O2)OCO5', '(+)']
['CN1C[C@H]2OC(=O)c3cc4c(cc3[C@@]23C=C[C@@H](O)C[C@@H]13)OCO4', '(-)']
['C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O.C([C@@H]([C@@H]1C(=C(C(=O)O1)[O-])[O-])O)O.[Fe]', '(+)']
['O=C1O[C@@H]([C@H](O)CO)C(O)=C1O.O=C1O[C@@H]([C@H](O)CO)C([O+])=C1[O+].[Fe]', '(-)']
['C1CCC(CC1)C2=CC=C(C=C2)[C@@H]([C@@H](C3=CC=C(C=C3)Cl)O)C(=O)O', '(+)']
['O=C(O)[C@H](c1ccc(C2CCCCC2)cc1)[C@@H](O)c1ccc(Cl)cc1', '(-)']
['C1CCC(CC1)C2=CC=C(C=C2)[C@@H]([C@@H](C3=CC=C(C=C3)Br)O)C(=O)O', '(+)']
['O=C(O)[C@H](c1ccc(C2CCCCC2)cc1)[C@@H](O)c1ccc(Br)cc1', '(-)']
['CC1=CC=C(C=C1)[C@H]([C@H](C2=CC=C(C=C2)C3CCCCC3)C(=O)O)O', '(+)']
['Cc1ccc([C@H](O)[C@H](C(=O)O)c2ccc(C3CCCCC3)cc2)cc1', '(-)']
['C1CCC(CC1)C2=CC=C(C=C2)[C@@H]([C@@H](C3=CC=CC=C3)O)C(=O)O', '(+)']
['O=C(O)[C@H](c1ccc(C2CCCCC2)cc1)[C@@H](O)c1ccccc1', '(-)']
['C/C/1=C/CC/C(=C\\C=C(/[C@H](C[C@]2([C@@H](O2)CC1)C)O)\\C(C)C)/C', '(+)']
['C/C1=C/C=C(/C(C)C)[C@H](O)C[C@@]2(C)O[C@@H]2CC/C(C)=C\\CC1', '(-)']
['CCCCCCCC[C@H](CCC(=O)O)OC(=O)C', '(-)']
['CCCCCCCC[C@@H](CCC(=O)O)OC(C)=O', '(+)']
['C[C@@H]([C@H](/C=C/[C@H]1[C@H](O1)[C@@H]2[C@H](C=CC(=O)O2)OC(=O)C)OC(=O)C)OC(=O)C', '(+)']
['CC(=O)O[C@H](C)[C@@H](/C=C/[C@H]1O[C@H]1[C@@H]1OC(=O)C=C[C@H]1OC(C)=O)OC(C)=O', '(-)']
['CCCCCCCCCCCCC1=C[C@@H](OC1=O)C', '(+)']
['CCCCCCCCCCCCC1=C[C@@H](C)OC1=O', '(-)']
['C[C@H]1[C@@H]2CC[C@@H]3[C@@]([C@H]2C(=O)C=C1C=C)(CCC(=O)C3(C)C)C', '(+)']
['C=CC1=CC(=O)[C@@H]2[C@H](CC[C@@H]3C(C)(C)C(=O)CC[C@@]23C)[C@H]1C', '(-)']
['CC(C)(C)C(=O)OC[C@@H](CO)O', '(+)']
['CC(C)(C)C(=O)OC[C@@H](O)CO', '(-)']
['C1=CC=C(C=C1)[C@H](C(=O)OCCCN2C=CC=C2)NC(=O)C3=CC(=CC(=C3)[N+](=O)[O-])[N+](=O)[O-]', '(-)']
['O=C(N[C@H](C(=O)OCCCn1cccc1)c1ccccc1)c1cc([N+](=O)[O+])cc([N+](=O)[O+])c1', '(+)']
['CC/C=C/[C@@H]1CCC[C@@H]1C=C', '(+)']
['C=C[C@@H]1CCC[C@@H]1/C=C/CC', '(-)']
['C[C@@]12CC[C@@]3(C1)[C@H](C[C@@H]([C@H]4[C@]3(CCC[C@@]4(CO)C(=O)O)C)OC(=O)C5=CC=CC=C5)CC2=O', '(+)']
['C[C@]12CC[C@]3(C1)[C@H](CC2=O)C[C@@H](OC(=O)c1ccccc1)[C@H]1[C@@](CO)(C(=O)O)CCC[C@@]13C', '(-)']
['CC(C)OS(=O)(=O)C[C@@]12CC[C@@H](C1(C)C)CC2=O', '(+)']
['CC(C)OS(=O)(=O)C[C@@]12CC[C@@H](CC1=O)C2(C)C', '(-)']
['CC1([C@@H]2CC[C@H]([C@H]1C2)[CH2])C.CC1([C@@H]2CC[C@H]([C@H]1C2)[CH2])C.[Zn]', '(+)']
['[CH2][C@H]1CC[C@H]2C[C@@H]1C2(C)C.[CH2][C@H]1CC[C@H]2C[C@@H]1C2(C)C.[Zn]', '(-)']
['CN1CCC2=C3[C@@H]1CC4=C(C3=C(C(=C2OC)OC)OC)C(=C(C=C4)OC)O', '(+)']
['COc1ccc2c(c1O)-c1c(OC)c(OC)c(OC)c3c1[C@@H](C2)N(C)CC3', '(-)']
['CC1=CCC[C@@]2([C@@H]1C[C@H](CC2)C(C)(C)O)C', '(+)']
['CC1=CCC[C@]2(C)CC[C@@H](C(C)(C)O)C[C@@H]12', '(-)']
['CCO[C@@]12CC/C(=N/NC(=O)N)/[C@H]3[C@@]14CCN([C@@H]2CC5=C4C(=C(C=C5)OC)O3)C', '(+)']
['CCO[C@]12CC/C(=N/NC(N)=O)[C@H]3Oc4c(OC)ccc5c4[C@]31CCN(C)[C@H]2C5', '(-)']
['CCO[C@@]12CC/C(=N/NC3=CC=CC=C3)/[C@H]4[C@@]15CCN([C@@H]2CC6=C5C(=C(C=C6)OC)O4)C', '(+)']
['CCO[C@]12CC/C(=N/Nc3ccccc3)[C@H]3Oc4c(OC)ccc5c4[C@]31CCN(C)[C@H]2C5', '(-)']
['CCO[C@@]12CC/C(=N/N(C)C)/[C@H]3[C@@]14CCN([C@@H]2CC5=C4C(=C(C=C5)OC)O3)C', '(+)']
['CCO[C@]12CC/C(=N/N(C)C)[C@H]3Oc4c(OC)ccc5c4[C@]31CCN(C)[C@H]2C5', '(-)']
['CN1CC[C@]23[C@@H]4/C(=N\\N(C)C)/CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O', '(+)']
['COc1ccc2c3c1O[C@@H]1/C(=N\\N(C)C)CC[C@]4(O)[C@H](C2)N(C)CC[C@@]314', '(-)']
['CCO[C@@]12CC/C(=N/NC)/[C@H]3[C@@]14CCN([C@@H]2CC5=C4C(=C(C=C5)OC)O3)C', '(+)']
['CCO[C@]12CC/C(=N/NC)[C@H]3Oc4c(OC)ccc5c4[C@]31CCN(C)[C@H]2C5', '(-)']
['CCO[C@@]12CC/C(=N/N)/[C@H]3[C@@]14CCN([C@@H]2CC5=C4C(=C(C=C5)OC)O3)C', '(+)']
['CCO[C@]12CC/C(=N/N)[C@H]3Oc4c(OC)ccc5c4[C@]31CCN(C)[C@H]2C5', '(-)']
['C[C@H]1[C@H](O[C@H](N1C)C2=NC=CS2)C3=CC=CC=C3', '(-)']
['C[C@@H]1[C@H](c2ccccc2)O[C@H](c2nccs2)N1C', '(+)']
['CN(C)C(=O)[C@H]1[C@@H]([C@@]2([C@]([C@H]1O)(C3=C(O2)C=C(C=C3OC)OC)O)C4=CC=C(C=C4)OC)C5=CC=CC=C5', '(+)']
['COc1ccc([C@@]23Oc4cc(OC)cc(OC)c4[C@]2(O)[C@H](O)[C@H](C(=O)N(C)C)[C@H]3c2ccccc2)cc1', '(-)']
['COC1=C(C=C(C=C1)CCC(=O)N2CCCCN3CCCN(C3)[C@@H](CC(=O)NCCC2)C4=CC=CC=C4)OC', '(+)']
['COc1ccc(CCC(=O)N2CCCCN3CCCN(C3)[C@@H](c3ccccc3)CC(=O)NCCC2)cc1OC', '(-)']
['COC1=C(C=C(C=C1)/C=C\\C(=O)N2CCCCN3CCCN(C3)[C@@H](CC(=O)NCCC2)C4=CC=CC=C4)OC', '(+)']
['COc1ccc(/C=C\\C(=O)N2CCCCN3CCCN(C3)[C@@H](c3ccccc3)CC(=O)NCCC2)cc1OC', '(-)']
['C[C@H]1C(=O)O[C@@H]/2[C@]1([C@H]([C@@H]3[C@]([C@H](CC[C@]34CO4)OC(=O)C)([C@H](C[C@H](/C(=C2)/C)OC(=O)C)OC(=O)C)C)OC(=O)C)O', '(+)']
['CC(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C)[C@H]([C@@H](OC(C)=O)[C@]3(O)[C@H](C)C(=O)O[C@@H]3/C=C\\1C)[C@@]1(CC[C@H]2OC(C)=O)CO1', '(-)']
['C[C@H]1CC(=O)C=C([C@]12CCC(=C(C)C)C2)C', '(+)']
['CC1=CC(=O)C[C@@H](C)[C@]12CCC(=C(C)C)C2', '(-)']
['CC1=CC(=CC(=C1C(=O)O[C@]2(C(=O)C=C3C=C(OC=C3C2=O)/C=C/COC(=O)C)C)O)O', '(+)']
['CC(=O)OC/C=C/C1=CC2=CC(=O)[C@@](C)(OC(=O)c3c(C)cc(O)cc3O)C(=O)C2=CO1', '(-)']
['CC1=CC(=CC(=C1C(=O)O[C@]2(C(=O)C=C3C=C(OC=C3C2=O)/C=C/CO)C)O)O', '(+)']
['Cc1cc(O)cc(O)c1C(=O)O[C@]1(C)C(=O)C=C2C=C(/C=C/CO)OC=C2C1=O', '(-)']
['C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C4=CC(=C(C=C4)O[C@@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O', '(+)']
['OC[C@@H]1O[C@@H](Oc2ccc([C@@H]3Oc4cc(O[C@@H]5O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]5O)cc(O)c4C[C@H]3O)cc2O)[C@@H](O)[C@H](O)[C@H]1O', '(-)']
['C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O', '(+)']
['OC[C@@H]1O[C@@H](Oc2ccc([C@@H]3Oc4cc(O)cc(O)c4C[C@H]3O)cc2O)[C@@H](O)[C@H](O)[C@H]1O', '(-)']
['CC1=CC(=O)[C@@H]2C[C@]1([C@@]2(C)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O', '(-)']
['CC1=CC(=O)[C@H]2C[C@]1(O)[C@]2(C)CO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O', '(+)']
['C/C=C/CCCCC1=C(C(=O)N2CC/C(=N/O)/[C@H]2O1)C', '(+)']
['C/C=C/CCCCC1=C(C)C(=O)N2CC/C(=N/O)[C@@H]2O1', '(-)']
['CC(=CC[C@@]1(C=CC2=C(O1)C=CC3=C2C(=O)C(=O)C=C3O)C)C', '(+)']
['CC(C)=CC[C@@]1(C)C=Cc2c(ccc3c2C(=O)C(=O)C=C3O)O1', '(-)']
['C[C@@H]1CC[C@H]2[C@@H](CC[C@@H]1P2)C', '(+)']
['C[C@H]1CC[C@H]2P[C@@H]1CC[C@@H]2C', '(-)']
['CN1CC[C@]2([C@H]1NC3=CC=CC=C32)[C@]45CCN([C@@H]4NC6=CC=CC=C56)C', '(-)']
['CN1CC[C@@]2([C@@]34CCN(C)[C@H]3Nc3ccccc34)c3ccccc3N[C@H]12', '(+)']
['COC(=O)C[C@@H]1CCC(=O)[C@H]1C/C=C\\CCO', '(+)']
['COC(=O)C[C@H]1CCC(=O)[C@@H]1C/C=C\\CCO', '(-)']
['CCO[C@H]1[C@H](CC(=O)O[C@H]([C@@H]([C@H]1O)O)C2=CC=CC=C2)O', '(+)']
['CCO[C@H]1[C@@H](O)[C@H](O)[C@@H](c2ccccc2)OC(=O)C[C@H]1O', '(-)']
['CC(=CCC[C@@]1(C=CC2=C(O1)C=CC3=C2C=CC(=C3)C4=C(C=C5C(=C4)C=CC6=C5C=C[C@@](O6)(C)CCC=C(C)C)C7=CC8=C(C=C7)C9=C(C=C8)O[C@](C=C9)(C)CCC=C(C)C)C)C', '(+)']
['CC(C)=CCC[C@@]1(C)C=Cc2c(ccc3cc(-c4cc5ccc6c(c5cc4-c4ccc5c7c(ccc5c4)O[C@@](C)(CCC=C(C)C)C=C7)C=C[C@](C)(CCC=C(C)C)O6)ccc23)O1', '(-)']
['CC/C=C/CCC[C@H]1CC[C@@H]([C@@H]2N1CCC2)C', '(+)']
['CC/C=C/CCC[C@@H]1CC[C@@H](C)[C@@H]2CCCN12', '(-)']
['CC1=C2[C@@H](CC1)[C@](CC[C@H]3[C@@H]2C3(C)C)(C)O', '(+)']
